"Species code","Species name","Province","Year","Annual age ratio"
"1300","Red-breasted Merganser","Ontario","1979",""
"1300","Red-breasted Merganser","Prince Edward Island","1979",""
"1300","Red-breasted Merganser","Quebec","1979",""
"1300","Red-breasted Merganser","Saskatchewan","1979",""
"1300","Red-breasted Merganser","New Brunswick","1980",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1980",""
"1300","Red-breasted Merganser","Nova Scotia","1980",""
"1300","Red-breasted Merganser","Northwest Territories","1980",""
"1300","Red-breasted Merganser","Ontario","1980",""
"1300","Red-breasted Merganser","Quebec","1980",""
"1300","Red-breasted Merganser","New Brunswick","1981",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1981",""
"1300","Red-breasted Merganser","Nova Scotia","1981","1.88"
"1300","Red-breasted Merganser","Ontario","1981",""
"1300","Red-breasted Merganser","Prince Edward Island","1981",""
"1300","Red-breasted Merganser","Quebec","1981",""
"1300","Red-breasted Merganser","Manitoba","1982",""
"1300","Red-breasted Merganser","New Brunswick","1982",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1982",""
"1300","Red-breasted Merganser","Nova Scotia","1982","8.33"
"1300","Red-breasted Merganser","Ontario","1982",""
"1300","Red-breasted Merganser","Prince Edward Island","1982",""
"1300","Red-breasted Merganser","Quebec","1982","2.75"
"1300","Red-breasted Merganser","New Brunswick","1983",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1983",""
"1300","Red-breasted Merganser","Nova Scotia","1983","1.19"
"1300","Red-breasted Merganser","Ontario","1983","1.25"
"1300","Red-breasted Merganser","Prince Edward Island","1983",""
"1300","Red-breasted Merganser","Quebec","1983","4.6"
"1300","Red-breasted Merganser","New Brunswick","1984",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1984",""
"1300","Red-breasted Merganser","Nova Scotia","1984","4.25"
"1300","Red-breasted Merganser","Ontario","1984",""
"1300","Red-breasted Merganser","Prince Edward Island","1984",""
"1300","Red-breasted Merganser","Quebec","1984","2.4"
"1300","Red-breasted Merganser","New Brunswick","1985",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1985","7.33"
"1300","Red-breasted Merganser","Nova Scotia","1985","8.5"
"1300","Red-breasted Merganser","Ontario","1985","2.5"
"1300","Red-breasted Merganser","Prince Edward Island","1985",""
"1300","Red-breasted Merganser","Quebec","1985","8"
"1300","Red-breasted Merganser","British Columbia","1986",""
"1300","Red-breasted Merganser","New Brunswick","1986",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1986","13.5"
