"Species code","Species name","Province","Year","Estimate","± 1 standard error"
"1300","Red-breasted Merganser","British Columbia","1975","64","22"
"1300","Red-breasted Merganser","New Brunswick","1975","335","54"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1975","3380","595"
"1300","Red-breasted Merganser","Nova Scotia","1975","2633","237"
"1300","Red-breasted Merganser","Ontario","1975","1661","90"
"1300","Red-breasted Merganser","Prince Edward Island","1975","865","92"
"1300","Red-breasted Merganser","Quebec","1975","5485","440"
"1300","Red-breasted Merganser","New Brunswick","1976","1152","110"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1976","7265","706"
"1300","Red-breasted Merganser","Nova Scotia","1976","1757","135"
"1300","Red-breasted Merganser","Ontario","1976","4545","228"
"1300","Red-breasted Merganser","Prince Edward Island","1976","2468","281"
"1300","Red-breasted Merganser","Quebec","1976","4748","402"
"1300","Red-breasted Merganser","Yukon Territory","1976","84","13"
"1300","Red-breasted Merganser","British Columbia","1977","142","0"
"1300","Red-breasted Merganser","New Brunswick","1977","443","0"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1977","5343","0"
"1300","Red-breasted Merganser","Nova Scotia","1977","3293","0"
"1300","Red-breasted Merganser","Northwest Territories","1977","137","0"
"1300","Red-breasted Merganser","Ontario","1977","2726","0"
"1300","Red-breasted Merganser","Prince Edward Island","1977","295","0"
"1300","Red-breasted Merganser","Quebec","1977","5760","0"
"1300","Red-breasted Merganser","New Brunswick","1978","61","3"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1978","3445","247"
"1300","Red-breasted Merganser","Nova Scotia","1978","892","63"
"1300","Red-breasted Merganser","Ontario","1978","439","40"
"1300","Red-breasted Merganser","Prince Edward Island","1978","43","5"
"1300","Red-breasted Merganser","Quebec","1978","1370","85"
"1300","Red-breasted Merganser","British Columbia","1979","227","24"
"1300","Red-breasted Merganser","New Brunswick","1979","270","26"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1979","3106","386"
"1300","Red-breasted Merganser","Nova Scotia","1979","2310","260"
"1300","Red-breasted Merganser","Ontario","1979","1405","73"
"1300","Red-breasted Merganser","Prince Edward Island","1979","273","34"
"1300","Red-breasted Merganser","Quebec","1979","3212","247"
"1300","Red-breasted Merganser","New Brunswick","1980","114","16"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1980","7102","802"
"1300","Red-breasted Merganser","Nova Scotia","1980","1963","164"
"1300","Red-breasted Merganser","Northwest Territories","1980","247","62"
"1300","Red-breasted Merganser","Ontario","1980","667","47"
"1300","Red-breasted Merganser","Quebec","1980","3431","193"
"1300","Red-breasted Merganser","New Brunswick","1981","339","26"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1981","3494","399"
"1300","Red-breasted Merganser","Nova Scotia","1981","4021","412"
"1300","Red-breasted Merganser","Ontario","1981","1503","87"
"1300","Red-breasted Merganser","Prince Edward Island","1981","330","19"
"1300","Red-breasted Merganser","Quebec","1981","3898","217"
"1300","Red-breasted Merganser","Manitoba","1982","1244","123"
"1300","Red-breasted Merganser","New Brunswick","1982","1363","296"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1982","5472","837"
"1300","Red-breasted Merganser","Nova Scotia","1982","2450","245"
"1300","Red-breasted Merganser","Ontario","1982","1197","77"
"1300","Red-breasted Merganser","Prince Edward Island","1982","470","103"
"1300","Red-breasted Merganser","Quebec","1982","7994","526"
"1300","Red-breasted Merganser","New Brunswick","1983","776","256"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1983","4202","426"
"1300","Red-breasted Merganser","Nova Scotia","1983","3135","342"
"1300","Red-breasted Merganser","Ontario","1983","4342","172"
"1300","Red-breasted Merganser","Prince Edward Island","1983","702","67"
"1300","Red-breasted Merganser","Quebec","1983","4594","344"
"1300","Red-breasted Merganser","New Brunswick","1984","119","242"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1984","4230","1790"
"1300","Red-breasted Merganser","Nova Scotia","1984","3151","1308"
"1300","Red-breasted Merganser","Ontario","1984","1303","828"
"1300","Red-breasted Merganser","Prince Edward Island","1984","534","317"
"1300","Red-breasted Merganser","Quebec","1984","4032","1602"
