"Species code","Species name","Province","Zone","Year","Annual age ratio"
"1290","Common Merganser","Newfoundland and Labrador","1","1990","6.67"
"1290","Common Merganser","Newfoundland and Labrador","2","1990",""
"1290","Common Merganser","Nova Scotia","1","1990",""
"1290","Common Merganser","Nova Scotia","2","1990",""
"1290","Common Merganser","Ontario","1","1990",""
"1290","Common Merganser","Ontario","2","1990",""
"1290","Common Merganser","Ontario","3","1990",""
"1290","Common Merganser","Quebec","1","1990","3.67"
"1290","Common Merganser","Quebec","2","1990","3.38"
"1290","Common Merganser","British Columbia","2","1991",""
"1290","Common Merganser","New Brunswick","1","1991",""
"1290","Common Merganser","Newfoundland and Labrador","1","1991",""
"1290","Common Merganser","Nova Scotia","1","1991",""
"1290","Common Merganser","Nova Scotia","2","1991",""
"1290","Common Merganser","Ontario","1","1991",""
"1290","Common Merganser","Ontario","2","1991",""
"1290","Common Merganser","Ontario","3","1991",""
"1290","Common Merganser","Quebec","1","1991","2.22"
"1290","Common Merganser","Quebec","2","1991","2.29"
"1290","Common Merganser","Manitoba","1","1992",""
"1290","Common Merganser","New Brunswick","1","1992",""
"1290","Common Merganser","New Brunswick","2","1992",""
"1290","Common Merganser","Newfoundland and Labrador","1","1992","2.86"
"1290","Common Merganser","Newfoundland and Labrador","2","1992",""
"1290","Common Merganser","Nova Scotia","1","1992",""
"1290","Common Merganser","Nova Scotia","2","1992",""
"1290","Common Merganser","Ontario","1","1992",""
"1290","Common Merganser","Ontario","2","1992","1.64"
"1290","Common Merganser","Ontario","3","1992",""
"1290","Common Merganser","Prince Edward Island","1","1992",""
"1290","Common Merganser","Quebec","1","1992","1.57"
"1290","Common Merganser","Quebec","2","1992","2.71"
"1290","Common Merganser","British Columbia","1","1993",""
"1290","Common Merganser","British Columbia","2","1993",""
"1290","Common Merganser","New Brunswick","1","1993",""
"1290","Common Merganser","Newfoundland and Labrador","1","1993",""
"1290","Common Merganser","Nova Scotia","1","1993",""
"1290","Common Merganser","Nova Scotia","2","1993",""
"1290","Common Merganser","Ontario","1","1993",""
"1290","Common Merganser","Ontario","2","1993",""
"1290","Common Merganser","Quebec","1","1993","3.67"
"1290","Common Merganser","Quebec","2","1993","5.6"
"1290","Common Merganser","Yukon Territory","1","1993",""
"1290","Common Merganser","British Columbia","1","1994",""
"1290","Common Merganser","British Columbia","2","1994",""
"1290","Common Merganser","New Brunswick","1","1994",""
"1290","Common Merganser","New Brunswick","2","1994",""
"1290","Common Merganser","Newfoundland and Labrador","1","1994","6"
"1290","Common Merganser","Newfoundland and Labrador","2","1994",""
"1290","Common Merganser","Nova Scotia","1","1994",""
"1290","Common Merganser","Nova Scotia","2","1994","1.8"
"1290","Common Merganser","Ontario","2","1994",""
"1290","Common Merganser","Ontario","3","1994",""
"1290","Common Merganser","Quebec","1","1994","6"
"1290","Common Merganser","Quebec","2","1994","7"
"1290","Common Merganser","Yukon Territory","1","1994",""
"1290","Common Merganser","New Brunswick","2","1995",""
"1290","Common Merganser","Newfoundland and Labrador","1","1995","26"
"1290","Common Merganser","Newfoundland and Labrador","2","1995",""
"1290","Common Merganser","Nova Scotia","1","1995","11"
"1290","Common Merganser","Nova Scotia","2","1995",""
"1290","Common Merganser","Ontario","2","1995",""
"1290","Common Merganser","Ontario","3","1995",""
"1290","Common Merganser","Prince Edward Island","1","1995",""
"1290","Common Merganser","Quebec","1","1995","10"
"1290","Common Merganser","Quebec","2","1995","6.4"
"1290","Common Merganser","Alberta","1","1996",""
"1290","Common Merganser","New Brunswick","2","1996",""
"1290","Common Merganser","Newfoundland and Labrador","1","1996","1.67"
"1290","Common Merganser","Nova Scotia","1","1996",""
"1290","Common Merganser","Nova Scotia","2","1996",""
"1290","Common Merganser","Ontario","1","1996",""
"1290","Common Merganser","Ontario","2","1996","2"
"1290","Common Merganser","Ontario","3","1996",""
"1290","Common Merganser","Prince Edward Island","1","1996",""
"1290","Common Merganser","Quebec","1","1996","1.41"
"1290","Common Merganser","Quebec","2","1996",""
"1290","Common Merganser","New Brunswick","2","1997",""
"1290","Common Merganser","Newfoundland and Labrador","1","1997","7.2"
"1290","Common Merganser","Newfoundland and Labrador","2","1997",""
"1290","Common Merganser","Nova Scotia","1","1997",""
"1290","Common Merganser","Nova Scotia","2","1997",""
"1290","Common Merganser","Ontario","1","1997",""
"1290","Common Merganser","Ontario","2","1997","3.13"
"1290","Common Merganser","Ontario","3","1997",""
"1290","Common Merganser","Quebec","1","1997","4.67"
"1290","Common Merganser","Quebec","2","1997",""
"1290","Common Merganser","British Columbia","2","1998",""
"1290","Common Merganser","Newfoundland and Labrador","1","1998","3.8"
"1290","Common Merganser","Newfoundland and Labrador","2","1998",""
"1290","Common Merganser","Nova Scotia","1","1998",""
"1290","Common Merganser","Nova Scotia","2","1998",""
"1290","Common Merganser","Ontario","1","1998",""
"1290","Common Merganser","Ontario","2","1998","2.38"
"1290","Common Merganser","Ontario","3","1998",""
"1290","Common Merganser","Quebec","1","1998","3.4"
"1290","Common Merganser","Quebec","2","1998",""
"1290","Common Merganser","New Brunswick","2","1999",""
"1290","Common Merganser","Newfoundland and Labrador","1","1999","3.5"
"1290","Common Merganser","Newfoundland and Labrador","2","1999",""
"1290","Common Merganser","Nova Scotia","1","1999",""
"1290","Common Merganser","Nova Scotia","2","1999",""
"1290","Common Merganser","Ontario","1","1999",""
"1290","Common Merganser","Ontario","2","1999","1.36"
"1290","Common Merganser","Ontario","3","1999",""
"1290","Common Merganser","Quebec","1","1999","2.08"
"1290","Common Merganser","Quebec","2","1999","1.8"
"1290","Common Merganser","British Columbia","2","2000",""
"1290","Common Merganser","New Brunswick","2","2000",""
"1290","Common Merganser","Newfoundland and Labrador","1","2000","7.75"
"1290","Common Merganser","Newfoundland and Labrador","2","2000",""
"1290","Common Merganser","Nova Scotia","1","2000",""
"1290","Common Merganser","Nova Scotia","2","2000",""
"1290","Common Merganser","Ontario","1","2000",""
"1290","Common Merganser","Ontario","2","2000",""
"1290","Common Merganser","Ontario","3","2000",""
"1290","Common Merganser","Prince Edward Island","1","2000",""
"1290","Common Merganser","Quebec","1","2000","1.6"
"1290","Common Merganser","Quebec","2","2000",""
"1290","Common Merganser","New Brunswick","1","2001",""
"1290","Common Merganser","New Brunswick","2","2001",""
"1290","Common Merganser","Newfoundland and Labrador","1","2001","3.25"
"1290","Common Merganser","Nova Scotia","1","2001",""
"1290","Common Merganser","Nova Scotia","2","2001",""
"1290","Common Merganser","Ontario","2","2001",""
"1290","Common Merganser","Ontario","3","2001",""
"1290","Common Merganser","Quebec","1","2001","4.5"
"1290","Common Merganser","Quebec","2","2001",""
"1290","Common Merganser","New Brunswick","1","2002",""
"1290","Common Merganser","New Brunswick","2","2002",""
"1290","Common Merganser","Newfoundland and Labrador","1","2002",""
"1290","Common Merganser","Newfoundland and Labrador","2","2002",""
"1290","Common Merganser","Nova Scotia","1","2002",""
"1290","Common Merganser","Nova Scotia","2","2002",""
"1290","Common Merganser","Ontario","1","2002",""
"1290","Common Merganser","Ontario","2","2002",""
"1290","Common Merganser","Ontario","3","2002",""
"1290","Common Merganser","Prince Edward Island","1","2002",""
"1290","Common Merganser","Quebec","1","2002","1.55"
"1290","Common Merganser","Quebec","2","2002",""
"1290","Common Merganser","Alberta","1","2003",""
"1290","Common Merganser","New Brunswick","2","2003",""
"1290","Common Merganser","Newfoundland and Labrador","1","2003",""
"1290","Common Merganser","Newfoundland and Labrador","2","2003",""
"1290","Common Merganser","Nova Scotia","1","2003",""
"1290","Common Merganser","Nova Scotia","2","2003",""
"1290","Common Merganser","Ontario","1","2003",""
"1290","Common Merganser","Ontario","2","2003",""
"1290","Common Merganser","Ontario","3","2003",""
"1290","Common Merganser","Quebec","1","2003","4.2"
"1290","Common Merganser","Quebec","2","2003",""
"1290","Common Merganser","British Columbia","2","2004",""
"1290","Common Merganser","New Brunswick","2","2004",""
"1290","Common Merganser","Newfoundland and Labrador","1","2004","2.33"
"1290","Common Merganser","Newfoundland and Labrador","2","2004",""
"1290","Common Merganser","Nova Scotia","1","2004",""
"1290","Common Merganser","Nova Scotia","2","2004",""
"1290","Common Merganser","Ontario","1","2004",""
"1290","Common Merganser","Ontario","2","2004",""
"1290","Common Merganser","Prince Edward Island","1","2004",""
