"Species code","Species name","Province","Zone","Year","Estimate","± 1 standard error"
"1290","Common Merganser","Quebec","2","1980","4698","459"
"1290","Common Merganser","Alberta","2","1981","347","28"
"1290","Common Merganser","British Columbia","1","1981","172","24"
"1290","Common Merganser","British Columbia","2","1981","225","30"
"1290","Common Merganser","New Brunswick","1","1981","315","28"
"1290","Common Merganser","New Brunswick","2","1981","680","60"
"1290","Common Merganser","Newfoundland and Labrador","1","1981","6211","964"
"1290","Common Merganser","Newfoundland and Labrador","2","1981","584","131"
"1290","Common Merganser","Nova Scotia","1","1981","1680","169"
"1290","Common Merganser","Nova Scotia","2","1981","445","82"
"1290","Common Merganser","Ontario","1","1981","549","43"
"1290","Common Merganser","Ontario","2","1981","1880","140"
"1290","Common Merganser","Ontario","3","1981","2938","215"
"1290","Common Merganser","Quebec","1","1981","9180","714"
"1290","Common Merganser","Quebec","2","1981","4284","530"
"1290","Common Merganser","Saskatchewan","2","1981","178","24"
"1290","Common Merganser","British Columbia","1","1982","235","20"
"1290","Common Merganser","Manitoba","2","1982","1043","144"
"1290","Common Merganser","New Brunswick","1","1982","73","10"
"1290","Common Merganser","New Brunswick","2","1982","1581","150"
"1290","Common Merganser","Newfoundland and Labrador","1","1982","2318","249"
"1290","Common Merganser","Newfoundland and Labrador","2","1982","2516","923"
"1290","Common Merganser","Nova Scotia","1","1982","551","44"
"1290","Common Merganser","Nova Scotia","2","1982","469","86"
"1290","Common Merganser","Ontario","1","1982","912","69"
"1290","Common Merganser","Ontario","2","1982","1702","171"
"1290","Common Merganser","Ontario","3","1982","1237","88"
"1290","Common Merganser","Quebec","1","1982","11598","850"
"1290","Common Merganser","Quebec","2","1982","5115","478"
"1290","Common Merganser","British Columbia","1","1983","37","8"
"1290","Common Merganser","British Columbia","2","1983","73","14"
"1290","Common Merganser","Manitoba","2","1983","67","14"
"1290","Common Merganser","New Brunswick","1","1983","352","46"
"1290","Common Merganser","New Brunswick","2","1983","608","192"
"1290","Common Merganser","Newfoundland and Labrador","1","1983","5428","897"
"1290","Common Merganser","Nova Scotia","1","1983","806","84"
"1290","Common Merganser","Nova Scotia","2","1983","559","109"
"1290","Common Merganser","Ontario","1","1983","290","27"
"1290","Common Merganser","Ontario","2","1983","5814","306"
"1290","Common Merganser","Ontario","3","1983","2319","168"
"1290","Common Merganser","Quebec","1","1983","10017","730"
"1290","Common Merganser","Quebec","2","1983","4241","535"
"1290","Common Merganser","Alberta","1","1984","887","695"
"1290","Common Merganser","British Columbia","1","1984","104","0"
"1290","Common Merganser","British Columbia","2","1984","182","0"
"1290","Common Merganser","New Brunswick","1","1984","668","557"
"1290","Common Merganser","New Brunswick","2","1984","227","259"
"1290","Common Merganser","Newfoundland and Labrador","1","1984","4321","1457"
"1290","Common Merganser","Newfoundland and Labrador","2","1984","530","0"
"1290","Common Merganser","Nova Scotia","1","1984","1238","621"
"1290","Common Merganser","Nova Scotia","2","1984","217","226"
"1290","Common Merganser","Ontario","1","1984","423","0"
"1290","Common Merganser","Ontario","2","1984","3168","1170"
"1290","Common Merganser","Ontario","3","1984","1713","828"
"1290","Common Merganser","Prince Edward Island","1","1984","155","0"
"1290","Common Merganser","Quebec","1","1984","7809","2541"
"1290","Common Merganser","Quebec","2","1984","5898","2965"
"1290","Common Merganser","Alberta","1","1985","136","0"
"1290","Common Merganser","British Columbia","2","1985","76","181"
"1290","Common Merganser","New Brunswick","1","1985","222","145"
"1290","Common Merganser","New Brunswick","2","1985","377","0"
"1290","Common Merganser","Newfoundland and Labrador","1","1985","5108","1751"
"1290","Common Merganser","Newfoundland and Labrador","2","1985","4901","2642"
"1290","Common Merganser","Nova Scotia","1","1985","1331","1900"
"1290","Common Merganser","Nova Scotia","2","1985","225","194"
"1290","Common Merganser","Ontario","1","1985","366","1014"
"1290","Common Merganser","Ontario","2","1985","2280","1256"
"1290","Common Merganser","Ontario","3","1985","1470","846"
"1290","Common Merganser","Quebec","1","1985","6985","1842"
"1290","Common Merganser","Quebec","2","1985","4854","1276"
"1290","Common Merganser","Alberta","1","1986","291","155"
"1290","Common Merganser","British Columbia","1","1986","193","222"
"1290","Common Merganser","British Columbia","2","1986","49","34"
"1290","Common Merganser","New Brunswick","1","1986","765","987"
"1290","Common Merganser","New Brunswick","2","1986","405","606"
"1290","Common Merganser","Newfoundland and Labrador","1","1986","6438","4060"
"1290","Common Merganser","Newfoundland and Labrador","2","1986","2991","2915"
"1290","Common Merganser","Nova Scotia","1","1986","479","129"
"1290","Common Merganser","Nova Scotia","2","1986","814","1048"
