"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1982","2222","284"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1982","2653","294"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1982","1175","183"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1982","1880","217"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1982","2999","333"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1982","1337","184"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1982","1514","137"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1982","723","85"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1982","5177","458"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1982","446","95"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1982","1981","218"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1982","1019","124"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1982","27","10"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1982","7420","584"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1982","14342","1161"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1982","3271","326"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1982","710","113"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1982","13686","763"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1982","2817","269"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1982","1504","202"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1982","899","130"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1982","2034","221"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1982","13","4"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1983","1730","205"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1983","3503","353"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1983","903","170"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1983","1676","196"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1983","2262","275"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1983","893","154"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1983","1345","216"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1983","899","198"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1983","5717","456"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1983","463","111"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1983","2341","185"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1983","987","173"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1983","80","34"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1983","5103","426"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1983","13653","615"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1983","3014","291"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1983","818","159"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1983","12542","606"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1983","2761","272"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1983","1552","221"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1983","752","151"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1983","2392","316"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1983","61","41"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1984","1925","193"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1984","2279","290"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1984","844","181"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1984","1095","146"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1984","2440","273"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1984","937","152"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1984","1491","214"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1984","973","182"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1984","6628","479"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1984","452","113"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1984","2037","167"
